zip_code,country,nuts1,nuts2,nuts3,numnuts,nuts_code
3070,BE,2,4,2,1,BE24
3071,BE,2,4,2,1,BE24
3078,BE,2,4,2,1,BE24
3080,BE,2,4,2,1,BE24
3090,BE,2,4,1,1,BE24
3110,BE,2,4,2,1,BE24
3111,BE,2,4,2,1,BE24
3118,BE,2,4,2,1,BE24
3120,BE,2,4,2,1,BE24
3128,BE,2,4,2,1,BE24
3130,BE,2,4,2,1,BE24
3140,BE,2,4,2,1,BE24
3150,BE,2,4,2,1,BE24
3190,BE,2,4,2,1,BE24
3191,BE,2,4,2,1,BE24
3200,BE,2,4,2,1,BE24
3201,BE,2,4,2,1,BE24
3202,BE,2,4,2,1,BE24
3210,BE,2,4,2,1,BE24
3211,BE,2,4,2,1,BE24
3212,BE,2,4,2,1,BE24
3220,BE,2,4,2,1,BE24
3221,BE,2,4,2,1,BE24
3270,BE,2,4,2,1,BE24
3271,BE,2,4,2,1,BE24
3272,BE,2,4,2,1,BE24
3290,BE,2,4,2,1,BE24
3293,BE,2,4,2,1,BE24
3294,BE,2,4,2,1,BE24
3300,BE,2,4,2,1,BE24
3320,BE,2,4,2,1,BE24
3321,BE,2,4,2,1,BE24
3350,BE,2,4,2,1,BE24
3360,BE,2,4,2,1,BE24
3370,BE,2,4,2,1,BE24
3380,BE,2,4,2,1,BE24
3381,BE,2,4,2,1,BE24
3384,BE,2,4,2,1,BE24
3390,BE,2,4,2,1,BE24
3391,BE,2,4,2,1,BE24
3400,BE,2,4,2,1,BE24
3401,BE,2,4,2,1,BE24
3404,BE,2,4,2,1,BE24
3440,BE,2,4,2,1,BE24
3450,BE,2,4,2,1,BE24
3454,BE,2,4,2,1,BE24
3460,BE,2,4,2,1,BE24
3461,BE,2,4,2,1,BE24
3470,BE,2,4,2,1,BE24
3471,BE,2,4,2,1,BE24
3472,BE,2,4,2,1,BE24
3473,BE,2,4,2,1,BE24
3500,BE,2,2,1,1,BE22
3501,BE,2,2,1,1,BE22
3510,BE,2,2,1,1,BE22
3511,BE,2,2,1,1,BE22
3512,BE,2,2,1,1,BE22
3520,BE,2,2,1,1,BE22
3530,BE,2,2,2,1,BE22
3540,BE,2,2,1,1,BE22
3545,BE,2,2,1,1,BE22
3550,BE,2,2,1,1,BE22
3560,BE,2,2,1,1,BE22
3570,BE,2,2,3,1,BE22
3580,BE,2,2,1,1,BE22
3581,BE,2,2,1,1,BE22
